156...\ModelLib\Samples\7 - Copy - Copy - Copy.png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 
192...\ModelLib\Samples\9 - Copy (2) - Copy - Copy.png 0: 0.002382138; 1: 9.930044E-08; 2: 6.246886E-07; 3: 0.010208875; 4: 5.801736E-06; 5: 0.13864024; 6: 1.397915E-06; 7: 7.9069923E-07; 8: 0.0021655075; 9: 0.8465946; 

143...\ModelLib\Samples\6.png 0: 1.448896E-08; 1: 5.22812E-14; 2: 7.1144734E-07; 3: 1.5676287E-05; 4: 5.1471377E-10; 5: 0.6731939; 6: 0.32678634; 7: 9.348543E-13; 8: 3.3582864E-06; 9: 4.9452265E-09; 

207...\ModelLib\Samples\9.png 0: 0.002382138; 1: 9.930044E-08; 2: 6.246886E-07; 3: 0.010208875; 4: 5.801736E-06; 5: 0.13864024; 6: 1.397915E-06; 7: 7.9069923E-07; 8: 0.0021655075; 9: 0.8465946; 

193...\ModelLib\Samples\9 - Copy (2) - Copy.png 0: 0.002382138; 1: 9.930044E-08; 2: 6.246886E-07; 3: 0.010208875; 4: 5.801736E-06; 5: 0.13864024; 6: 1.397915E-06; 7: 7.9069923E-07; 8: 0.0021655075; 9: 0.8465946; 

144...\ModelLib\Samples\7 - Copy (2) - Copy - Copy.png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 

194...\ModelLib\Samples\9 - Copy (2).png 0: 0.002382138; 1: 9.930044E-08; 2: 6.246886E-07; 3: 0.010208875; 4: 5.801736E-06; 5: 0.13864024; 6: 1.397915E-06; 7: 7.9069923E-07; 8: 0.0021655075; 9: 0.8465946; 

145...\ModelLib\Samples\7 - Copy (2) - Copy.png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 

195...\ModelLib\Samples\9 - Copy (3) - Copy.png 0: 0.002382138; 1: 9.930044E-08; 2: 6.246886E-07; 3: 0.010208875; 4: 5.801736E-06; 5: 0.13864024; 6: 1.397915E-06; 7: 7.9069923E-07; 8: 0.0021655075; 9: 0.8465946; 

146...\ModelLib\Samples\7 - Copy (2).png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 

196...\ModelLib\Samples\9 - Copy (3).png 0: 0.002382138; 1: 9.930044E-08; 2: 6.246886E-07; 3: 0.010208875; 4: 5.801736E-06; 5: 0.13864024; 6: 1.397915E-06; 7: 7.9069923E-07; 8: 0.0021655075; 9: 0.8465946; 

147...\ModelLib\Samples\7 - Copy (3) - Copy.png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 

197...\ModelLib\Samples\9 - Copy (4) - Copy.png 0: 0.002382138; 1: 9.930044E-08; 2: 6.246886E-07; 3: 0.010208875; 4: 5.801736E-06; 5: 0.13864024; 6: 1.397915E-06; 7: 7.9069923E-07; 8: 0.0021655075; 9: 0.8465946; 

148...\ModelLib\Samples\7 - Copy (3).png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 

198...\ModelLib\Samples\9 - Copy (4).png 0: 0.002382138; 1: 9.930044E-08; 2: 6.246886E-07; 3: 0.010208875; 4: 5.801736E-06; 5: 0.13864024; 6: 1.397915E-06; 7: 7.9069923E-07; 8: 0.0021655075; 9: 0.8465946; 

149...\ModelLib\Samples\7 - Copy (4) - Copy.png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 

199...\ModelLib\Samples\9 - Copy - Copy (2) - Copy.png 0: 0.002382138; 1: 9.930044E-08; 2: 6.246886E-07; 3: 0.010208875; 4: 5.801736E-06; 5: 0.13864024; 6: 1.397915E-06; 7: 7.9069923E-07; 8: 0.0021655075; 9: 0.8465946; 

150...\ModelLib\Samples\7 - Copy (4).png 0: 4.758783E-16; 1: 1.1090573E-06; 2: 3.8000085E-08; 3: 7.604928E-08; 4: 1.5474625E-17; 5: 9.735935E-16; 6: 2.0854873E-20; 7: 0.99999875; 8: 8.883492E-16; 9: 2.1736174E-11; 

200...\ModelLib\Samples\9 - Copy - Copy (2).png 0: 0.002382138; 1: 9.930044E-08; 2: 6.246886E-07; 3: 0.010208875; 4: 5.801736E-06; 5: 0.13864024; 6: 1.397915E-06; 7: 7.9069923E-07; 8: 0.0021655075; 9: 0.8465946; 

201...\ModelLib\Samples\9 - Copy - Copy (3).png 0: 0.002382138; 1: 9.930044E-08; 2: 6.246886E-07; 3: 0.010208875; 4: 5.801736E-06; 5: 0.13864024; 6: 1.397915E-06; 7: 7.9069923E-07; 8: 0.0021655075; 9: 0.8465946; 

202...\ModelLib\Samples\9 - Copy - Copy - Copy (2).png 0: 0.002382138; 1: 9.930044E-08; 2: 6.246886E-07; 3: 0.010208875; 4: 5.801736E-06; 5: 0.13864024; 6: 1.397915E-06; 7: 7.9069923E-07; 8: 0.0021655075; 9: 0.8465946; 

